Key,ja,en,ko,zh-CN,zh-TW
EmoMaker/Help/Usage,・編集したい表情をクリックしてから右側のバーを動かして編集\n・Ctrlを押しながらクリックすると複数選択\n・列・行を押してまとめて選択\n・左上のメニューよりコピー・入替\n・編集が完了したら「保存して適用」\n・初期配置はFlatsPlusの「表情タイプ」によります,・Click on the expression you want to edit then adjust the sliders on the right\n・Hold Ctrl to select multiple expressions\n・Click on columns/rows to select entire rows/columns\n・Copy/swap from the menu in the top left\n・Click "Save and Apply" when finished editing\n・Initial layout depends on FlatsPlus "Expression Type",・편집하고 싶은 표정을 클릭한 후 오른쪽 슬라이더로 조정\n・Ctrl을 누르면서 클릭하면 여러 표정 선택\n・행과 열을 클릭하여 한 번에 선택\n・왼쪽 상단의 메뉴에서 복사/교체\n・편집이 완료되면 "저장하고 적용"\n・초기 배치는 FlatsPlus "표정 유형"에 따름,・点击要编辑的表情，然后调整右侧滑块\n・按住Ctrl可选择多个表情\n・点击行/列可选择整行/整列\n・从左上角菜单复制/交换\n・编辑完成后点击"保存并应用"\n・初始布局取决于FlatsPlus的"表情类型",・點擊要編輯的表情，然後調整右側滑塊\n・按住Ctrl可選擇多個表情\n・點擊行/列可選擇整行/整列\n・從左上角菜單複製/交換\n・編輯完成後點擊"保存並應用"\n・初始佈局取決於FlatsPlus的"表情類型"
EmoMaker/AllSelect,全選択,Select All,모두 선택,全选,全選
EmoMaker/Left,左,Left,왼쪽,左,左
EmoMaker/Right,右,Right,오른쪽,右,右
EmoMaker/Copy,コピー,Copy,복사,复制,複製
EmoMaker/CopyCancel,コピー解除,Cancel Copy,복사 취소,取消复制,取消複製
EmoMaker/SwapStart,入替開始,Start Swap,교체 시작,开始交换,開始交換
EmoMaker/SwapCancel,入替解除,Cancel Swap,교체 취소,取消交换,取消交換
EmoMaker/Confirm,確定,Confirm,확인,确认,確認
EmoMaker/GetActiveAvatar,アクティブなアバターを取得,Get Active Avatar,활성 아바타 가져오기,获取活跃头像,獲取活躍頭像
EmoMaker/LoadConfig,Config読み込み,Load Config,설정 불러오기,加载配置,加載配置
EmoMaker/SaveAndApply,保存して適用,Save and Apply,저장하고 적용,保存并应用,保存並應用
EmoMaker/Target,Target,Target,대상,目标,目標
EmoMaker/SelectedCount,選択中: {0} 個の表情,Selected: {0} expressions,선택됨: {0} 표정,已选择: {0} 个表情,已選擇: {0} 個表情
EmoMaker/AvatarNotLoaded,アバターが取得されていません。上のボタンをクリックして取得してください。,Avatar not loaded. Please click the button above to get it.,아바타가 로드되지 않았습니다. 위의 버튼을 클릭하여 가져오세요.,未加载头像。请点击上方按钮获取。,未加載頭像。請點擊上方按鈕獲取。
EmoMaker/NoEmoData,表情データがありません。,No expression data available.,표정 데이터가 없습니다.,没有表情数据。,沒有表情數據。
EmoMaker/NormalShapes,通常シェイプ,Normal Shapes,일반 셰이프,普通形状,普通形狀
EmoMaker/NoShapesToDisplay,表示するシェイプがありません,No shapes to display,표시할 셰이프가 없습니다,没有可显示的形状,沒有可顯示的形狀
EmoMaker/Others,その他 ({0}),Others ({0}),기타 ({0}),其他 ({0}),其他 ({0})
EmoMaker/SetValue,値をあわせる,Align Value,값 맞추기,对齐值,對齊值
EmoMaker/Size,サイズ:,Size:,크기:,大小:,大小:
EmoMaker/Height,高さ:,Height:,높이:,高度:,高度:
EmoMaker/CameraSettings,カメラ設定はアバター取得後に利用できます。,Camera settings available after avatar is loaded.,카메라 설정은 아바타 로드 후 사용할 수 있습니다.,头像加载后可使用相机设置。,頭像加載後可使用相機設置。
EmoMaker/SelectConfigFile,設定ファイルを選択,Select Config File,설정 파일 선택,选择配置文件,選擇配置文件
EmoMaker/SpecifyFileName,表情設定ファイル名を指定,Specify Expression File Name,표정 설정 파일 이름 지정,指定表情设置文件名,指定表情設置文件名
EmoMaker/SaveConfigFile,表情設定ファイルを保存,Save Expression Settings File,표정 설정 파일 저장,保存表情设置文件,保存表情設置文件
EmoMaker/Error/AvatarNotLoaded,アバターが取得されていません。先にアバターを取得してください。,Avatar not loaded. Please get the avatar first.,아바타가 로드되지 않았습니다. 먼저 아바타를 가져오세요.,未加载头像。请先获取头像。,未加載頭像。請先獲取頭像。
EmoMaker/Error/EmptyFile,ファイルが空か、ヘッダーのみです。,File is empty or contains only the header.,파일이 비어 있거나 헤더만 포함되어 있습니다.,文件为空或仅包含标题。,文件為空或僅包含標題。
EmoMaker/Error/InvalidFormat,ファイルフォーマットが正しくありません。先頭2列はLeft,Rightである必要があります。,Invalid file format. The first two columns must be Left,Right.,잘못된 파일 형식입니다. 처음 두 열은 Left,Right여야 합니다.,文件格式无效。前两列必须是Left,Right。,文件格式無效。前兩列必須是Left,Right。
EmoMaker/ConfigApplied,{0}個の表情設定を適用しました。,Applied {0} expression settings.,{0}개의 표정 설정을 적용했습니다.,已应用{0}个表情设置。,已應用{0}個表情設置。
EmoMaker/Error/LoadConfig,Config読み込みエラー,Config loading error,설정 로드 오류,配置加载错误,配置加載錯誤
EmoMaker/Error/SaveConfig,Config保存エラー,Config saving error,설정 저장 오류,配置保存错误,配置保存錯誤
EmoMaker/ConfigExported,{0}個の表情設定をエクスポートしました。: {1},{0} expression settings exported: {1},{0}개의 표정 설정을 내보냈습니다: {1},已导出{0}个表情设置: {1},已導出{0}個表情設置: {1}
EmoMaker/FixValue,値をあわせる,Align Value,값 맞추기,对齐值,對齊值
